,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,text
0,Fri Jun 18 17:55:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TelGlobalHealth:🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen…",0,0,en,548,612,ketuesriche,551,351,,,,Mass,rt    africa is  in the midst of a full blown third wave  of coronavirus  the head of   has warned  cases have risen 
1,Fri Jun 18 17:55:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @globalhlthtwit: Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate re…",0.133333333,0.455555556,en,195,92,Grid1949,66,92,,,,"Edinburgh, Scotland",dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate re 
2,Fri Jun 18 17:56:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NHSRDForum: Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all…,0.316666667,0.483333333,en,2,1,LeeTomlinson8,1195,1176,,,,,thank you  2note for creating this amazing campaign  amp  turning social media  red4research today    is all 
3,Fri Jun 18 17:56:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @HighWireTalk: Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out a…",0.166666667,0.166666667,en,1580,899,RIPNY08,2666,2704,,,,,former pfizer vp and virologist  dr  michael yeadon  is one of the most credentialed medical professionals speaking out a 
4,Fri Jun 18 17:56:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PeterHotez: I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But…,0.3,0.766666667,en,72,20,pash22,28250,30819,,,,United Kingdom,i think it s important that we don t sell covax short  it still has a lot going for it and is innovative in its design  but 
5,Fri Jun 18 17:56:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CDCDirector: I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine n…",0.644444444,0.911111111,en,683,220,SandhraLee,759,4163,,,,USA,i m pleased to welcome the  wecandothis bus to atlanta today  remember  there are 3 easy ways to find a  covid19 vaccine n 
6,Fri Jun 18 17:56:44 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RealJoelSmalley: Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy…",5.55E-17,0.9,en,536,347,neilwalton48,221,599,,,,,yet another amazingly qualified and courageous doctor  roger hodkinson  speaks out against the crazy government policy 
7,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RealJoelSmalley: Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy…",5.55E-17,0.9,en,536,348,Candide62,154,1102,,,,"Nord-Pas-de-Calais, France",yet another amazingly qualified and courageous doctor  roger hodkinson  speaks out against the crazy government policy 
8,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @globalhlthtwit: Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate re…",0.133333333,0.455555556,en,197,93,AnneCar51323293,115,2030,,,,,dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate re 
9,Fri Jun 18 17:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @LongCovidNYC: It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then…",0.278787879,0.384848485,en,3,1,DarkaDuna2014,94,144,,,,"Bilbao, País Vasco",it is really something to see new research coming out about damage to the brain  heart  and more from  covid19  and then 
