,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,location,clean_text
0,Fri Jun 18 17:55:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.16666666666666666,0.18888888888888888,en,548.0,612.0,ketuesriche,551,351,,[],"[{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [81, 89]}, {'screen_name': 'jriggers', 'name': 'Jennifer Rigby', 'id': 174663886, 'id_str': '174663886', 'indices': [209, 218]}]",Mass,africa midst fullblown third wave coronaviru head whoafro warn case risen across contin 20 death also risen 15 last week jrigger report httpstcocrdhqphfwm
1,Fri Jun 18 17:55:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.13333333333333333,0.4555555555555556,en,195.0,92.0,Grid1949,66,92,,[],[],"Edinburgh, Scotland",dr moeti head who africa one best public health expert leader i know her desper request vaccin africa we plead germani uk lift patent restrict urgent transfer technolog enabl product africa httpstcosogiroihoc
2,Fri Jun 18 17:56:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.3166666666666667,0.4833333333333333,en,2.0,1.0,LeeTomlinson8,1195,1176,,"[{'text': 'red4research', 'indices': [87, 100]}]","[{'screen_name': 'Research2note', 'name': 'Research2note', 'id': 734054113940508672, 'id_str': '734054113940508672', 'indices': [10, 24]}, {'screen_name': 'NHSRDForum', 'name': 'NHS R&D Forum', 'id': 1381499726, 'id_str': '1381499726', 'indices': [108, 119]}]",,thank research2not creat amaz campaign amp turn social media red4research today nhsrdforum share talent passion amp commit individu come togeth commun benefit youv done well done
3,Fri Jun 18 17:56:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.08611111111111111,0.19722222222222224,en,1580.0,899.0,RIPNY08,2666,2704,,"[{'text': 'Covid19', 'indices': [145, 153]}]",[],,former pfizer vp virologist dr michael yeadon one credenti medic profession speak danger covid19 vaccin break list lie keep night httpstcolse8crkdqn
4,Fri Jun 18 17:56:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.28,0.6199999999999999,en,72.0,20.0,pash22,28250,30819,,[],"[{'screen_name': 'TexasChildrens', 'name': ""Texas Children's"", 'id': 15393700, 'id_str': '15393700', 'indices': [184, 199]}, {'screen_name': 'biological_e', 'name': 'Biological E. Limited', 'id': 1262299754840551425, 'id_str': '1262299754840551425', 'indices': [241, 254]}]",United Kingdom,i think import dont sell covax short it still lot go innov design but need vaccin share were hope low cost texaschildren recombin protein covid19 vaccin biological_ help fill gap
5,Fri Jun 18 17:56:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.5083333333333333,0.7833333333333333,en,683.0,220.0,SandhraLee,759,4163,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",[],USA,im pleas welcom wecandothi bu atlanta today rememb 3 easi way find covid19 vaccin near search httpstcod2pdwips8o text zip code 438829 call 18002320233 httpstcoammcmmctip
6,Fri Jun 18 17:56:44 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",3.7007434154171876e-17,0.6333333333333334,en,536.0,347.0,neilwalton48,221,599,,[],[],,yet anoth amazingli qualifi courag doctor roger hodkinson speak crazi govern polici respons covid i condens 45 minut the hirewir 6 twitter size edit start overview intervent vaccin httpstcowcvq32s9wd
7,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",3.7007434154171876e-17,0.6333333333333334,en,536.0,348.0,Candide62,154,1102,,[],[],"Nord-Pas-de-Calais, France",yet anoth amazingli qualifi courag doctor roger hodkinson speak crazi govern polici respons covid i condens 45 minut the hirewir 6 twitter size edit start overview intervent vaccin httpstcowcvq32s9wd
8,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.13333333333333333,0.4555555555555556,en,197.0,93.0,AnneCar51323293,115,2030,,[],[],,dr moeti head who africa one best public health expert leader i know her desper request vaccin africa we plead germani uk lift patent restrict urgent transfer technolog enabl product africa
9,Fri Jun 18 17:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.3727272727272728,0.4674242424242425,en,3.0,1.0,DarkaDuna2014,94,144,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],"Bilbao, País Vasco",it realli someth see new research come damag brain heart covid19 and watch govern reopen everyth let covid deltavari spread wildli throughout countri vaccin great need httpstcoo8vx9tky0q
10,Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.5083333333333333,0.7833333333333333,en,685.0,221.0,Jmilio54,15,43,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",[],,im pleas welcom wecandothi bu atlanta today rememb 3 easi way find covid19 vaccin near search httpstcod2pdwips8o text zip code 438829 call 18002320233 httpstcoammcmmctip
11,Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.1625,0.2375,en,52.0,28.0,LilyWad75051099,474,361,,"[{'text': 'Cuban', 'indices': [53, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'vaccines', 'indices': [69, 78]}]","[{'screen_name': 'BioCubaFarma', 'name': 'BioCubaFarma', 'id': 983814956058578945, 'id_str': '983814956058578945', 'indices': [214, 227]}, {'screen_name': 'FinlayInstituto', 'name': 'Instituto Finlay de Vacunas', 'id': 867464592846442496, 'id_str': '867464592846442496', 'indices': [228, 244]}, {'screen_name': 'cda_dc', 'name': 'CDA', 'id': 61804141, 'id_str': '61804141', 'indices': [245, 252]}, {'screen_name': 'WOLA_org', 'name': 'WOLA', 'id': 133048642, 'id_str': '133048642', 'indices': [253, 262]}, {'screen_name': 'aperezriverol', 'name': 'A. Perez-Riverol', 'id': 802608255373639680, 'id_str': '802608255373639680', 'indices': [263, 277]}]",,biocubafarma say phase 3 clinic trial result cuban covid19 vaccin due day soberana02 without booster abdala test 85k volunt havana eastern cuba biocubafarma finlayinstituto cda_dc wola_org aperezriverol httpstcogkrwldjx1m
12,Fri Jun 18 17:56:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.3727272727272728,0.4674242424242425,en,,,SammyEyong,14,80,,,,,nan
13,Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.3727272727272728,0.4674242424242425,en,4.0,2.0,trekkerteach12,7778,5990,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],,it realli someth see new research come damag brain heart covid19 and watch govern reopen everyth let covid deltavari spread wildli throughout countri vaccin great need httpstcoo8vx9tky0q
14,Fri Jun 18 17:57:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.1958333333333333,0.2875,en,22.0,6.0,emet_news_press,9765,7035,,,,Global,nan
15,Fri Jun 18 17:57:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.09166666666666666,0.4166666666666666,en,,,edjimimi,371,605,,,,"Austin, TX",nan
16,Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.625,1.0,en,5.0,3.0,SheriD17536431,470,1240,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],Nashville,it realli someth see new research come damag brain heart covid19 and watch govern reopen everyth let covid deltavari spread wildli throughout countri vaccin great need httpstcoo8vx9tky0q
17,Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.13333333333333333,0.4555555555555556,en,67.0,77.0,DuncanSteele8,48,74,,"[{'text': 'COVID19', 'indices': [187, 195]}]",[],,africa midst full blown third wave the sober trajectori surg case rous everyon urgent action weve seen india elsewher quickli covid19 rebound overwhelm health system
18,Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.625,0.4,en,55.0,32.0,ChrisRamsden4,678,570,,"[{'text': 'COVID19', 'indices': [201, 209]}, {'text': 'VaccinEquity', 'indices': [210, 223]}]","[{'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [0, 9]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [191, 200]}]",Kent,drtedro less 2 africa popul vaccin vaccin donat next year far late die today infect today risk todaydrtedro covid19 vaccinequ
19,Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.2333333333333333,0.5533333333333333,en,6.0,3.0,stevenlwalker,5769,1848,,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'TakeTheShotDC', 'indices': [145, 159]}]",[],Bending stuff towards justice,so glad join train day dc covid19 commun corp they go door door attend event encourag resid taketheshotdc togeth well crush viru httpstcoq3mpcnzfjl httpstconibvfurhtd
20,Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.13333333333333333,0.4555555555555556,en,203.0,95.0,yuccaldo,1309,2618,,[],[],"#mRNA/@pfizer 1.shot, 23.04",dr moeti head who africa one best public health expert leader i know her desper request vaccin africa we plead germani uk lift patent restrict urgent transfer technolog enabl product africa
21,Fri Jun 18 17:57:30 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.4000000000000001,0.7166666666666667,en,5.0,2.0,LeahMochula,84,592,,"[{'text': 'protectmb', 'indices': [181, 191]}, {'text': 'VHCDose2', 'indices': [216, 225]}, {'text': 'COVID19MB', 'indices': [226, 236]}, {'text': 'vhcMB', 'indices': [237, 243]}]",[],,mb winnipeg avail mrna vaccin scurfield pharmaci 100 201 scurfield blvd 2043064459 httpstcocdmokvmutw call confirm availabilitybook appoint protectmb httpstco7oyavc9tk1 vhcdose2 covid19mb vhcmb
22,Fri Jun 18 17:57:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.1625,0.2375,en,3.0,3.0,siborg76,558,1684,,[],"[{'screen_name': 'robinmonotti2', 'name': 'Robin Monotti 🌸', 'id': 20106357, 'id_str': '20106357', 'indices': [0, 14]}, {'screen_name': 'RiseOfTheProles', 'name': 'Rise up Canadians!', 'id': 809764232111783936, 'id_str': '809764232111783936', 'indices': [15, 31]}]","England, United Kingdom",robinmonotti2 riseoftheprol btwcovid19 death super inflat rig pcr test use surviv rate covid19 viru 9997 death vaccin comparison infinit higher tri 1 million time like die covid19 shot actual viru httpstcooocr6ctzqz
23,Fri Jun 18 17:57:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.1958333333333333,0.2875,en,203.0,96.0,DrRobinFawcett,85,110,,[],[],London,dr moeti head who africa one best public health expert leader i know her desper request vaccin africa we plead germani uk lift patent restrict urgent transfer technolog enabl product africa httpstcosogiroihoc
24,Fri Jun 18 17:57:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.16666666666666666,0.18888888888888888,en,29.0,5.0,signpostpoetry,850,1827,,"[{'text': 'mbpoli', 'indices': [252, 259]}]","[{'screen_name': 'KindrachukJason', 'name': 'Jason Kindrachuk, PhD', 'id': 1071978579934765061, 'id_str': '1071978579934765061', 'indices': [224, 240]}, {'screen_name': 'SouradetS', 'name': 'Souradet Shaw', 'id': 1143960970672390146, 'id_str': '1143960970672390146', 'indices': [241, 251]}]",Treaty One,that great but zero appoint avail within 6 hour drive radiu winnipeg anyon get pfizer shot 2 save pfizer kid they dont choic vaccin kindrachukjason souradet mbpoli
25,Fri Jun 18 17:57:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.3727272727272728,0.4674242424242425,en,,,sharon_inouye,6100,1556,,,,United States,nan
